scope,row,modality,anchor,anchor_type,fold,mod_macro_f1,anchor_macro_f1,delta,mean_delta,n_folds_positive
TOO,13,probe_cpg_tt39_enriched_lasso,probe_meth_tt39_enriched,probe-averaged,3,0.6794227994227995,0.5714285714285714,0.10799422799422809,0.072952380952381,4
TOO,13,probe_cpg_tt39_enriched_lasso,probe_meth_tt39_enriched,probe-averaged,4,0.5986291486291486,0.6599999999999999,-0.0613708513708513,0.072952380952381,4
TOO,13,probe_cpg_tt39_enriched_lasso,probe_meth_tt39_enriched,probe-averaged,5,0.5033333333333333,0.4514285714285714,0.0519047619047619,0.072952380952381,4
TOO EDTA,4,probe_cpg,probe_meth_unenriched,probe-averaged,1,0.4428571428571428,0.5568181818181818,-0.11396103896103899,-0.029447219447219487,2
TOO EDTA,4,probe_cpg,probe_meth_unenriched,probe-averaged,2,0.4205128205128204,0.4068181818181818,0.013694638694638606,-0.029447219447219487,2
TOO EDTA,4,probe_cpg,probe_meth_unenriched,probe-averaged,3,0.4416666666666666,0.4583333333333332,-0.016666666666666607,-0.029447219447219487,2
TOO EDTA,4,probe_cpg,probe_meth_unenriched,probe-averaged,4,0.3613636363636363,0.4083333333333333,-0.04696969696969705,-0.029447219447219487,2
TOO EDTA,4,probe_cpg,probe_meth_unenriched,probe-averaged,5,0.2666666666666666,0.25,0.016666666666666607,-0.029447219447219487,2
TOO EDTA,4,probe_cpg,probe_cpg_agg_unenriched,probe-aggregation,1,0.4428571428571428,0.5476190476190476,-0.10476190476190478,-0.0622502497502498,2
TOO EDTA,4,probe_cpg,probe_cpg_agg_unenriched,probe-aggregation,2,0.4205128205128204,0.3693181818181818,0.05119463869463858,-0.0622502497502498,2
TOO EDTA,4,probe_cpg,probe_cpg_agg_unenriched,probe-aggregation,3,0.4416666666666666,0.6428571428571428,-0.2011904761904762,-0.0622502497502498,2
TOO EDTA,4,probe_cpg,probe_cpg_agg_unenriched,probe-aggregation,4,0.3613636363636363,0.4345238095238095,-0.0731601731601732,-0.0622502497502498,2
TOO EDTA,4,probe_cpg,probe_cpg_agg_unenriched,probe-aggregation,5,0.2666666666666666,0.25,0.016666666666666607,-0.0622502497502498,2
TOO EDTA,5,probe_cpg_enriched,probe_meth,probe-averaged,1,0.6541666666666667,0.8031746031746032,-0.14900793650793653,-0.05216810966810968,2
TOO EDTA,5,probe_cpg_enriched,probe_meth,probe-averaged,2,0.3484848484848485,0.25,0.09848484848484851,-0.05216810966810968,2
TOO EDTA,5,probe_cpg_enriched,probe_meth,probe-averaged,3,0.375,0.4791666666666666,-0.10416666666666657,-0.05216810966810968,2
TOO EDTA,5,probe_cpg_enriched,probe_meth,probe-averaged,4,0.4791666666666666,0.3392857142857143,0.13988095238095227,-0.05216810966810968,2
TOO EDTA,5,probe_cpg_enriched,probe_meth,probe-averaged,5,0.2539682539682539,0.5,-0.2460317460317461,-0.05216810966810968,2
TOO EDTA,5,probe_cpg_enriched,probe_cpg_agg_enriched,probe-aggregation,1,0.6541666666666667,0.5892857142857143,0.06488095238095237,-0.03907287157287155,3
TOO EDTA,5,probe_cpg_enriched,probe_cpg_agg_enriched,probe-aggregation,2,0.3484848484848485,0.361111111111111,-0.012626262626262486,-0.03907287157287155,3
TOO EDTA,5,probe_cpg_enriched,probe_cpg_agg_enriched,probe-aggregation,3,0.375,0.2944444444444444,0.0805555555555556,-0.03907287157287155,3
TOO EDTA,5,probe_cpg_enriched,probe_cpg_agg_enriched,probe-aggregation,4,0.4791666666666666,0.4571428571428571,0.0220238095238095,-0.03907287157287155,3
TOO EDTA,5,probe_cpg_enriched,probe_cpg_agg_enriched,probe-aggregation,5,0.2539682539682539,0.6041666666666666,-0.35019841269841273,-0.03907287157287155,3
TOO EDTA,6,probe_cpg_agg_unenriched,probe_meth_unenriched,probe-averaged,1,0.5476190476190476,0.5568181818181818,-0.009199134199134207,0.03280303030303031,2
TOO EDTA,6,probe_cpg_agg_unenriched,probe_meth_unenriched,probe-averaged,2,0.3693181818181818,0.4068181818181818,-0.03749999999999998,0.03280303030303031,2
TOO EDTA,6,probe_cpg_agg_unenriched,probe_meth_unenriched,probe-averaged,3,0.6428571428571428,0.4583333333333332,0.1845238095238096,0.03280303030303031,2
TOO EDTA,6,probe_cpg_agg_unenriched,probe_meth_unenriched,probe-averaged,4,0.4345238095238095,0.4083333333333333,0.026190476190476153,0.03280303030303031,2
TOO EDTA,6,probe_cpg_agg_unenriched,probe_meth_unenriched,probe-averaged,5,0.25,0.25,0.0,0.03280303030303031,2
TOO EDTA,7,probe_cpg_agg_enriched,probe_meth,probe-averaged,1,0.5892857142857143,0.8031746031746032,-0.2138888888888889,-0.013095238095238137,3
TOO EDTA,7,probe_cpg_agg_enriched,probe_meth,probe-averaged,2,0.361111111111111,0.25,0.111111111111111,-0.013095238095238137,3
TOO EDTA,7,probe_cpg_agg_enriched,probe_meth,probe-averaged,3,0.2944444444444444,0.4791666666666666,-0.18472222222222218,-0.013095238095238137,3
TOO EDTA,7,probe_cpg_agg_enriched,probe_meth,probe-averaged,4,0.4571428571428571,0.3392857142857143,0.11785714285714277,-0.013095238095238137,3
TOO EDTA,7,probe_cpg_agg_enriched,probe_meth,probe-averaged,5,0.6041666666666666,0.5,0.10416666666666663,-0.013095238095238137,3
TOO EDTA,10,probe_cpg_tt39_unenriched,probe_meth_tt39_unenriched,probe-averaged,1,0.6309523809523809,0.4068181818181818,0.22413419913419913,0.10195887445887446,4
TOO EDTA,10,probe_cpg_tt39_unenriched,probe_meth_tt39_unenriched,probe-averaged,2,0.3333333333333333,0.0625,0.2708333333333333,0.10195887445887446,4
TOO EDTA,10,probe_cpg_tt39_unenriched,probe_meth_tt39_unenriched,probe-averaged,3,0.2125,0.3166666666666666,-0.1041666666666666,0.10195887445887446,4
TOO EDTA,10,probe_cpg_tt39_unenriched,probe_meth_tt39_unenriched,probe-averaged,4,0.3166666666666666,0.2613636363636363,0.0553030303030303,0.10195887445887446,4
TOO EDTA,10,probe_cpg_tt39_unenriched,probe_meth_tt39_unenriched,probe-averaged,5,0.4303571428571428,0.3666666666666667,0.06369047619047613,0.10195887445887446,4
TOO EDTA,11,probe_cpg_tt39_unenriched_lasso,probe_meth_tt39_unenriched,probe-averaged,1,0.2613636363636363,0.4068181818181818,-0.1454545454545455,0.012182539682539678,2
TOO EDTA,11,probe_cpg_tt39_unenriched_lasso,probe_meth_tt39_unenriched,probe-averaged,2,0.3484848484848485,0.0625,0.2859848484848485,0.012182539682539678,2
TOO EDTA,11,probe_cpg_tt39_unenriched_lasso,probe_meth_tt39_unenriched,probe-averaged,3,0.3492063492063492,0.3166666666666666,0.03253968253968259,0.012182539682539678,2
TOO EDTA,11,probe_cpg_tt39_unenriched_lasso,probe_meth_tt39_unenriched,probe-averaged,4,0.238095238095238,0.2613636363636363,-0.0232683982683983,0.012182539682539678,2
TOO EDTA,11,probe_cpg_tt39_unenriched_lasso,probe_meth_tt39_unenriched,probe-averaged,5,0.2777777777777778,0.3666666666666667,-0.0888888888888889,0.012182539682539678,2
TOO EDTA,12,probe_cpg_tt39_enriched,probe_meth_tt39_enriched,probe-averaged,1,0.7892857142857143,0.4875,0.30178571428571427,0.23783189033189034,4
TOO EDTA,12,probe_cpg_tt39_enriched,probe_meth_tt39_enriched,probe-averaged,2,0.765151515151515,0.1111111111111111,0.654040404040404,0.23783189033189034,4
TOO EDTA,12,probe_cpg_tt39_enriched,probe_meth_tt39_enriched,probe-averaged,3,0.5375,0.3095238095238095,0.2279761904761905,0.23783189033189034,4
TOO EDTA,12,probe_cpg_tt39_enriched,probe_meth_tt39_enriched,probe-averaged,4,0.3839285714285714,0.45,-0.06607142857142861,0.23783189033189034,4
TOO EDTA,12,probe_cpg_tt39_enriched,probe_meth_tt39_enriched,probe-averaged,5,0.4392857142857143,0.3678571428571429,0.0714285714285714,0.23783189033189034,4
TOO EDTA,13,probe_cpg_tt39_enriched_lasso,probe_meth_tt39_enriched,probe-averaged,1,0.6333333333333333,0.4875,0.14583333333333331,0.2936507936507936,4
TOO EDTA,13,probe_cpg_tt39_enriched_lasso,probe_meth_tt39_enriched,probe-averaged,2,0.580952380952381,0.1111111111111111,0.4698412698412699,0.2936507936507936,4
TOO EDTA,13,probe_cpg_tt39_enriched_lasso,probe_meth_tt39_enriched,probe-averaged,3,0.9365079365079364,0.3095238095238095,0.626984126984127,0.2936507936507936,4
TOO EDTA,13,probe_cpg_tt39_enriched_lasso,probe_meth_tt39_enriched,probe-averaged,4,0.4416666666666666,0.45,-0.008333333333333415,0.2936507936507936,4
TOO EDTA,13,probe_cpg_tt39_enriched_lasso,probe_meth_tt39_enriched,probe-averaged,5,0.6017857142857143,0.3678571428571429,0.23392857142857137,0.2936507936507936,4
